city,station_name,address,fuel_code,price,date
Ульяновск,Татнефть №540,"Ульяновская область, г. Ульяновск, проспект Олимпийский, 2",GAS,28.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №540,"Ульяновская область, г. Ульяновск, проспект Олимпийский, 2",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №540,"Ульяновская область, г. Ульяновск, проспект Олимпийский, 2",AI92PLUS,60.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №540,"Ульяновская область, г. Ульяновск, проспект Олимпийский, 2",AI95,63.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №540,"Ульяновская область, г. Ульяновск, проспект Олимпийский, 2",DIESEL,73.0,2025-12-07 22:31:15.080881
Чердаклинский район,ЛУКОЙЛ №73231,"Чердаклинский р-н, п. Мирный, ул. Димитровградская, 1В",AI95,66.54,2025-12-07 22:31:15.080881
Чердаклинский район,ЛУКОЙЛ №73231,"Чердаклинский р-н, п. Мирный, ул. Димитровградская, 1В",DIESEL,70.61,2025-12-07 22:31:15.080881
Чердаклинский район,ЛУКОЙЛ №73231,"Чердаклинский р-н, п. Мирный, ул. Димитровградская, 1В",GAS,28.19,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №310,"Ульяновская область, г. Ульяновск, Московское шоссе, 92",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №310,"Ульяновская область, г. Ульяновск, Московское шоссе, 92",AI92PLUS,60.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №310,"Ульяновская область, г. Ульяновск, Московское шоссе, 92",AI95,63.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №310,"Ульяновская область, г. Ульяновск, Московское шоссе, 92",DIESEL,73.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №187,"Ульяновская область, г. Ульяновск, Дмитровградское шоссе, 79",GAS,28.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №187,"Ульяновская область, г. Ульяновск, Дмитровградское шоссе, 79",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №187,"Ульяновская область, г. Ульяновск, Дмитровградское шоссе, 79",AI95,63.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №187,"Ульяновская область, г. Ульяновск, Дмитровградское шоссе, 79",DIESEL,73.0,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Татнефть №301,"Ульяновская область, Ульяновский район, с. Карлинское, А151, справа",AI92,59.1,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Татнефть №301,"Ульяновская область, Ульяновский район, с. Карлинское, А151, справа",AI95,63.85,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Татнефть №301,"Ульяновская область, Ульяновский район, с. Карлинское, А151, справа",DIESEL,73.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №241,"Ульяновская область, г. Ульяновск, ул. Рябикова, 132",GAS,28.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №241,"Ульяновская область, г. Ульяновск, ул. Рябикова, 132",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №241,"Ульяновская область, г. Ульяновск, ул. Рябикова, 132",AI92PLUS,60.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №241,"Ульяновская область, г. Ульяновск, ул. Рябикова, 132",AI95,63.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №241,"Ульяновская область, г. Ульяновск, ул. Рябикова, 132",DIESEL,73.0,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Татнефть №300,"Ульяновская область, Ульяновский район, п. Плодовый, М5, справа",AI92,59.1,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Татнефть №300,"Ульяновская область, Ульяновский район, п. Плодовый, М5, справа",AI95,63.85,2025-12-07 22:31:15.080881
Городской округ Ульяновск,Татнефть №300,"Ульяновская область, Ульяновский район, п. Плодовый, М5, справа",DIESEL,72.1,2025-12-07 22:31:15.080881
Димитровград,Татнефть №370,"Ульяновская область, г. Димитровград, Мулловское шоссе, 1Б",AI92,59.1,2025-12-07 22:31:15.080881
Димитровград,Татнефть №370,"Ульяновская область, г. Димитровград, Мулловское шоссе, 1Б",AI95,63.85,2025-12-07 22:31:15.080881
Димитровград,Татнефть №370,"Ульяновская область, г. Димитровград, Мулловское шоссе, 1Б",DIESEL,73.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №601,"Ульяновская область, г. Ульяновск, Московское шоссе 32А",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №601,"Ульяновская область, г. Ульяновск, Московское шоссе 32А",AI95,63.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №601,"Ульяновская область, г. Ульяновск, Московское шоссе 32А",DIESEL,73.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №344,"Ульяновская область, г. Ульяновск, ул. Октябрьская, 22в",GAS,28.0,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №344,"Ульяновская область, г. Ульяновск, ул. Октябрьская, 22в",AI92,59.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №344,"Ульяновская область, г. Ульяновск, ул. Октябрьская, 22в",AI92PLUS,61.1,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №344,"Ульяновская область, г. Ульяновск, ул. Октябрьская, 22в",AI95,64.85,2025-12-07 22:31:15.080881
Ульяновск,Татнефть №344,"Ульяновская область, г. Ульяновск, ул. Октябрьская, 22в",DIESEL,74.0,2025-12-07 22:31:15.080881
Ульяновск,ЛУКОЙЛ №73238,"Московское ш., 16б, Ульяновск, Ульяновская обл., Россия, 432045",AI92,60.99,2025-12-07 22:31:15.080881
Ульяновск,ЛУКОЙЛ №73238,"Московское ш., 16б, Ульяновск, Ульяновская обл., Россия, 432045",AI95,64.99,2025-12-07 22:31:15.080881
